"action_id","timestamp","conversation_id","lead_id","action_type","source_agent","source_agent_type","dest_agent_type","handoff_context_json","escalation_reason"
"ACT0000001","2025-08-23T13:23:47","C0000085","L0000085","triage","OP-004","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.75}","complex_request"
"ACT0000002","2025-08-25T13:59:21","C0000085","L0000085","pause_campaign","LT-005","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.78}","legal"
"ACT0000003","2025-08-04T02:06:32","C0000085","L0000085","escalate","OP-003","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.68}","complaint"
"ACT0000004","2025-08-23T04:20:05","C0000085","L0000085","update_segment","OP-006","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.94}","legal"
"ACT0000005","2025-08-27T19:12:44","C0002471","L0002472","consolidate_memory","EN-012","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.86}","complaint"
"ACT0000006","2025-08-28T03:39:45","C0002471","L0002472","handoff","EN-020","Engagement","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.83}","high_value"
"ACT0000007","2025-08-27T22:41:50","C0002471","L0002472","update_segment","OP-003","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.68}","high_value"
"ACT0000008","2025-08-25T08:03:47","C0002471","L0002472","handoff","LT-006","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.96}","complex_request"
"ACT0000009","2025-07-12T04:11:10","C0002805","L0002806","consolidate_memory","OP-002","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","legal"
"ACT0000010","2025-08-23T09:29:36","C0002805","L0002806","handoff","LT-009","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.98}","high_value"
"ACT0000011","2025-08-14T00:43:47","C0004988","L0004989","escalate","EN-016","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.66}","legal"
"ACT0000012","2025-08-21T12:41:19","C0004925","L0004926","update_template","LT-010","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.88}","none"
"ACT0000013","2025-07-27T02:16:01","C0004925","L0004926","escalate","EN-018","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","none"
"ACT0000014","2025-08-17T14:35:06","C0004722","L0004723","resume_campaign","EN-002","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","complex_request"
"ACT0000015","2025-08-15T19:18:23","C0004722","L0004723","triage","OP-006","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.71}","complex_request"
"ACT0000016","2025-08-11T06:09:09","C0004722","L0004723","escalate","OP-005","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","complex_request"
"ACT0000017","2025-08-04T21:15:11","C0000158","L0000158","triage","LT-010","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.68}","complex_request"
"ACT0000018","2025-08-20T05:19:07","C0000706","L0000706","pause_campaign","LT-004","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.78}","none"
"ACT0000019","2025-06-14T23:29:41","C0000706","L0000706","consolidate_memory","LT-001","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.85}","complaint"
"ACT0000020","2025-07-12T21:24:38","C0004663","L0004664","optimize","OP-004","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.61}","none"
"ACT0000021","2025-07-21T06:52:45","C0004663","L0004664","triage","LT-001","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.87}","legal"
"ACT0000022","2025-07-27T18:21:58","C0004663","L0004664","resume_campaign","EN-010","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.88}","high_value"
"ACT0000023","2025-07-12T19:17:47","C0004663","L0004664","escalate","EN-019","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","complaint"
"ACT0000024","2025-08-12T16:47:31","C0001182","L0001182","triage","EN-005","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.66}","complaint"
"ACT0000025","2025-08-14T05:48:34","C0001182","L0001182","escalate","LT-010","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.79}","complex_request"
"ACT0000026","2025-07-07T01:53:01","C0003964","L0003965","triage","EN-002","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.63}","none"
"ACT0000027","2025-07-22T05:03:03","C0003964","L0003965","consolidate_memory","OP-001","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.74}","complex_request"
"ACT0000028","2025-08-20T15:51:25","C0003964","L0003965","triage","EN-003","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","high_value"
"ACT0000029","2025-06-04T03:30:00","C0004811","L0004812","escalate","LT-002","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.74}","high_value"
"ACT0000030","2025-06-25T17:02:35","C0004811","L0004812","consolidate_memory","LT-001","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.76}","none"
"ACT0000031","2025-07-10T03:01:48","C0004811","L0004812","handoff","EN-005","Engagement","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.66}","legal"
"ACT0000032","2025-06-12T01:51:56","C0004811","L0004812","resume_campaign","LT-003","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.98}","complaint"
"ACT0000033","2025-08-01T18:52:35","C0002836","L0002837","pause_campaign","EN-016","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.87}","high_value"
"ACT0000034","2025-08-19T23:27:53","C0002836","L0002837","pause_campaign","OP-004","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.69}","complex_request"
"ACT0000035","2025-07-10T10:47:58","C0002836","L0002837","pause_campaign","OP-003","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.83}","legal"
"ACT0000036","2025-06-13T09:26:43","C0002836","L0002837","resume_campaign","OP-006","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","legal"
"ACT0000037","2025-08-10T20:06:45","C0003540","L0003541","optimize","LT-003","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.95}","complaint"
"ACT0000038","2025-08-07T23:51:02","C0000839","L0000839","pause_campaign","OP-003","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.75}","none"
"ACT0000039","2025-05-16T17:47:24","C0000249","L0000249","escalate","LT-008","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.88}","complaint"
"ACT0000040","2025-06-09T00:23:32","C0000249","L0000249","update_template","OP-004","Optimizer","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.65}","none"
"ACT0000041","2025-08-19T12:45:26","C0000811","L0000811","handoff","OP-005","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.83}","legal"
"ACT0000042","2025-08-09T09:51:10","C0000811","L0000811","escalate","OP-007","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.82}","high_value"
"ACT0000043","2025-07-25T01:24:05","C0000811","L0000811","pause_campaign","LT-007","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","complaint"
"ACT0000044","2025-06-15T15:58:53","C0000811","L0000811","handoff","EN-008","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.78}","none"
"ACT0000045","2025-06-03T09:31:25","C0004257","L0004258","handoff","LT-004","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.71}","high_value"
"ACT0000046","2025-05-20T09:55:30","C0004257","L0004258","handoff","OP-006","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.72}","complex_request"
"ACT0000047","2025-08-22T12:31:41","C0004257","L0004258","handoff","OP-005","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.71}","legal"
"ACT0000048","2025-08-12T14:55:57","C0004868","L0004869","escalate","EN-005","Engagement","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.86}","none"
"ACT0000049","2025-07-30T00:50:36","C0004868","L0004869","resume_campaign","EN-003","Engagement","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.66}","complex_request"
"ACT0000050","2025-08-27T02:51:15","C0003723","L0003724","pause_campaign","OP-007","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.73}","high_value"
"ACT0000051","2025-08-09T02:55:55","C0004328","L0004329","outreach","LT-006","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","complex_request"
"ACT0000052","2025-08-17T00:52:37","C0004328","L0004329","update_segment","LT-007","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.84}","complex_request"
"ACT0000053","2025-08-18T04:26:12","C0004328","L0004329","optimize","LT-009","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.74}","high_value"
"ACT0000054","2025-08-09T04:02:25","C0004328","L0004329","triage","LT-009","LeadTriage","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.64}","high_value"
"ACT0000055","2025-05-16T11:03:07","C0000734","L0000734","outreach","LT-007","LeadTriage","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.86}","legal"
"ACT0000056","2025-06-24T09:09:29","C0000734","L0000734","optimize","OP-005","Optimizer","LeadTriage","{""summary"": ""handoff with recent events"", ""confidence"": 0.7}","none"
"ACT0000057","2025-06-29T04:58:29","C0000734","L0000734","triage","OP-004","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.81}","legal"
"ACT0000058","2025-08-17T08:35:03","C0000734","L0000734","update_segment","OP-006","Optimizer","Manager","{""summary"": ""handoff with recent events"", ""confidence"": 0.94}","complex_request"
"ACT0000059","2025-08-25T10:46:01","C0003003","L0003004","outreach","LT-004","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.72}","complaint"
"ACT0000060","2025-08-28T15:21:01","C0004382","L0004383","consolidate_memory","LT-008","LeadTriage","Optimizer","{""summary"": ""handoff with recent events"", ""confidence"": 0.89}","legal"
"ACT0000061","2025-05-28T23:09:59","C0004382","L0004383","pause_campaign","LT-008","LeadTriage","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.82}","complex_request"
"ACT0000062","2025-08-21T05:34:56","C0004178","L0004179","outreach","OP-005","Optimizer","Engagement","{""summary"": ""handoff with recent events"", ""confidence"": 0.97}","complaint"
