"campaign_id","date","impressions","clicks","ctr","leads_created","conversions","cost_usd","revenue_usd","cpl_usd","roas"
"CMP0001","2025-05-22T00:00:00","157","5","0.0318","3","1","79.76","190.21","26.59","2.38"
"CMP0001","2025-05-23T00:00:00","2136","58","0.0272","9","2","161.76","139.87","17.97","0.86"
"CMP0001","2025-05-24T00:00:00","962","33","0.0343","7","1","123.22","100.45","17.6","0.82"
"CMP0001","2025-05-25T00:00:00","2454","83","0.0338","19","2","44.58","179.02","2.35","4.02"
"CMP0001","2025-05-26T00:00:00","2036","72","0.0354","15","3","37.79","1160.98","2.52","30.72"
"CMP0001","2025-05-27T00:00:00","2999","79","0.0263","17","1","22.05","139.12","1.3","6.31"
"CMP0001","2025-05-28T00:00:00","1721","57","0.0331","15","0","84.07","0.0","5.6","0.0"
"CMP0001","2025-05-29T00:00:00","1522","57","0.0375","15","2","73.82","726.1","4.92","9.84"
"CMP0001","2025-05-30T00:00:00","2646","64","0.0242","17","2","36.79","698.56","2.16","18.99"
"CMP0001","2025-05-31T00:00:00","2341","76","0.0325","15","1","55.59","392.09","3.71","7.05"
"CMP0001","2025-06-01T00:00:00","2250","61","0.0271","6","3","153.28","1030.59","25.55","6.72"
"CMP0002","2025-06-12T00:00:00","2267","65","0.0287","14","3","115.14","710.29","8.22","6.17"
"CMP0002","2025-06-13T00:00:00","2221","45","0.0203","7","4","149.98","790.96","21.43","5.27"
"CMP0002","2025-06-14T00:00:00","2737","90","0.0329","22","3","151.81","1035.03","6.9","6.82"
"CMP0002","2025-06-15T00:00:00","2586","73","0.0282","12","3","63.05","1063.84","5.25","16.87"
"CMP0002","2025-06-16T00:00:00","1492","41","0.0275","11","2","72.02","459.46","6.55","6.38"
"CMP0002","2025-06-17T00:00:00","2055","66","0.0321","15","4","7.22","1129.36","0.48","156.42"
"CMP0002","2025-06-18T00:00:00","1739","57","0.0328","13","4","30.78","1178.65","2.37","38.29"
"CMP0002","2025-06-19T00:00:00","2404","61","0.0254","13","1","133.27","374.09","10.25","2.81"
"CMP0002","2025-06-20T00:00:00","1896","52","0.0274","7","1","41.1","253.39","5.87","6.17"
"CMP0002","2025-06-21T00:00:00","2440","63","0.0258","15","5","34.92","1517.66","2.33","43.46"
"CMP0002","2025-06-22T00:00:00","2324","62","0.0267","7","0","124.2","0.0","17.74","0.0"
"CMP0002","2025-06-23T00:00:00","2692","89","0.0331","15","3","40.99","286.92","2.73","7.0"
"CMP0002","2025-06-24T00:00:00","1951","70","0.0359","23","2","8.54","205.31","0.37","24.04"
"CMP0002","2025-06-25T00:00:00","1292","32","0.0248","7","0","62.59","0.0","8.94","0.0"
"CMP0002","2025-06-26T00:00:00","1534","38","0.0248","7","2","50.68","208.95","7.24","4.12"
"CMP0002","2025-06-27T00:00:00","1856","57","0.0307","14","2","35.22","173.38","2.52","4.92"
"CMP0002","2025-06-28T00:00:00","599","21","0.0351","2","0","67.08","0.0","33.54","0.0"
"CMP0002","2025-06-29T00:00:00","1855","47","0.0253","7","1","22.66","255.32","3.24","11.27"
"CMP0002","2025-06-30T00:00:00","2275","61","0.0268","12","1","58.95","173.68","4.91","2.95"
"CMP0002","2025-07-01T00:00:00","1613","47","0.0291","10","2","33.92","364.61","3.39","10.75"
"CMP0002","2025-07-02T00:00:00","1609","59","0.0367","16","3","98.11","433.02","6.13","4.41"
"CMP0002","2025-07-03T00:00:00","2801","85","0.0303","20","4","76.7","1433.39","3.83","18.69"
"CMP0002","2025-07-04T00:00:00","1818","73","0.0402","13","0","39.96","0.0","3.07","0.0"
"CMP0002","2025-07-05T00:00:00","1541","47","0.0305","6","1","27.58","224.66","4.6","8.15"
"CMP0002","2025-07-06T00:00:00","2434","67","0.0275","15","4","99.84","1533.47","6.66","15.36"
"CMP0002","2025-07-07T00:00:00","2147","59","0.0275","15","2","97.61","152.98","6.51","1.57"
"CMP0002","2025-07-08T00:00:00","1922","43","0.0224","10","1","87.38","207.68","8.74","2.38"
"CMP0002","2025-07-09T00:00:00","1817","71","0.0391","12","1","61.09","350.84","5.09","5.74"
"CMP0002","2025-07-10T00:00:00","3309","93","0.0281","16","1","46.47","218.85","2.9","4.71"
"CMP0002","2025-07-11T00:00:00","3718","101","0.0272","17","0","90.89","0.0","5.35","0.0"
"CMP0002","2025-07-12T00:00:00","2375","70","0.0295","13","1","39.74","121.35","3.06","3.05"
"CMP0003","2025-07-06T00:00:00","1403","43","0.0306","9","2","103.66","659.88","11.52","6.37"
"CMP0003","2025-07-07T00:00:00","0","0","0.0","0","0","87.96","0.0","","0.0"
"CMP0003","2025-07-08T00:00:00","3031","109","0.036","25","4","35.66","507.97","1.43","14.24"
"CMP0003","2025-07-09T00:00:00","2296","64","0.0279","12","2","93.34","772.92","7.78","8.28"
"CMP0003","2025-07-10T00:00:00","1511","54","0.0357","15","1","50.38","185.74","3.36","3.69"
"CMP0003","2025-07-11T00:00:00","2858","90","0.0315","24","3","90.92","720.04","3.79","7.92"
"CMP0003","2025-07-12T00:00:00","2108","59","0.028","9","0","13.4","0.0","1.49","0.0"
"CMP0003","2025-07-13T00:00:00","2723","81","0.0297","17","4","38.27","711.87","2.25","18.6"
"CMP0003","2025-07-14T00:00:00","1873","56","0.0299","14","3","99.77","159.7","7.13","1.6"
"CMP0003","2025-07-15T00:00:00","2407","58","0.0241","8","0","40.69","0.0","5.09","0.0"
"CMP0003","2025-07-16T00:00:00","903","33","0.0365","7","2","7.29","452.01","1.04","62.0"
"CMP0003","2025-07-17T00:00:00","1261","46","0.0365","10","0","26.0","0.0","2.6","0.0"
"CMP0003","2025-07-18T00:00:00","735","22","0.0299","2","0","25.68","0.0","12.84","0.0"
