"campaign_id","name","objective","start_date","end_date","channel_mix","daily_budget_usd","total_budget_usd","owner_email","primary_region","target_personas","kpi"
"CMP0001","Ember Bridge Wave","Lead Gen","2025-05-22T14:50:25","2025-06-01T01:07:10","[""Ads"", ""Social"", ""Web"", ""Email""]","5576.24","55762.4","mgr_11@purplemerit.example","LATAM","[""Founder"", ""Engineer""]","CPL"
"CMP0002","Beta Orbit Ramp","Upsell","2025-06-12T10:55:36","2025-07-12T01:03:57","[""Web"", ""Email"", ""Social"", ""Ads""]","1648.052","49441.56","mgr_09@purplemerit.example","APAC","[""CMO""]","Revenue"
"CMP0003","Merit Pilot Pilot","Upsell","2025-07-06T01:40:56","2025-07-26T13:25:32","[""Social"", ""Ads""]","450.5404761904762","9461.35","mgr_07@purplemerit.example","APAC","[""Engineer""]","Revenue"
"CMP0004","Bridge Synergy Pilot","Upsell","2025-08-13T03:00:14","2025-08-21T15:21:43","[""Email"", ""Web"", ""Ads""]","6949.615555555556","62546.54","mgr_10@purplemerit.example","EU","[""Founder"", ""Engineer"", ""CMO""]","MQL Volume"
"CMP0005","Velocity Pilot Pilot","Awareness","2025-05-16T11:51:27","2025-07-07T16:44:29","[""SMS"", ""Ads""]","662.2443396226414","35098.95","mgr_06@purplemerit.example","India","[""Engineer"", ""Founder""]","ROAS"
"CMP0006","Quantum Nova Series","Retention","2025-06-03T05:33:50","2025-08-01T02:12:00","[""Social"", ""Call"", ""SMS"", ""Web""]","367.9015254237288","21706.19","mgr_11@purplemerit.example","APAC","[""CMO""]","CPL"
"CMP0007","Alpha Bridge Ramp","Awareness","2025-07-01T06:07:03","2025-08-16T04:53:57","[""Email"", ""Social"", ""Ads""]","380.9073913043479","17521.74","mgr_08@purplemerit.example","APAC","[""CMO""]","ROAS"
"CMP0008","Fusion Echo Blast","Lead Gen","2025-08-13T15:48:58","2025-08-23T20:20:42","[""Web"", ""SMS"", ""Call"", ""Social""]","1637.310909090909","18010.42","mgr_03@purplemerit.example","US","[""Engineer""]","CTR"
"CMP0009","Fusion Apollo Wave","Lead Gen","2025-07-21T23:24:28","2025-08-26T22:16:28","[""SMS"", ""Call""]","1263.885","45499.86","mgr_08@purplemerit.example","India","[""Founder"", ""Procurement"", ""Marketing Manager""]","MQL Volume"
"CMP0010","Apollo Fusion Series","Upsell","2025-05-22T15:52:14","2025-06-27T03:46:31","[""Social"", ""SMS"", ""Email""]","1989.6822222222224","71628.56","mgr_12@purplemerit.example","US","[""Marketing Manager"", ""Procurement"", ""CMO""]","CTR"
"CMP0011","Growth Echo Blast","Lead Gen","2025-07-12T14:33:53","2025-08-25T14:57:15","[""Web"", ""Call""]","1534.4451111111111","69050.03","mgr_10@purplemerit.example","APAC","[""CMO"", ""Founder""]","CTR"
"CMP0012","Velocity Apollo Wave","Upsell","2025-05-16T07:02:04","2025-06-08T22:12:30","[""SMS"", ""Email"", ""Social"", ""Web""]","2090.0754166666666","50161.81","mgr_09@purplemerit.example","MEA","[""Procurement""]","CTR"
"CMP0013","Orbit Purple Pilot","Lead Gen","2025-06-30T12:42:11","2025-08-15T06:25:20","[""Call"", ""Ads"", ""SMS"", ""Web""]","759.9671739130434","34958.49","mgr_04@purplemerit.example","LATAM","[""CMO"", ""Procurement"", ""Engineer""]","CPL"
"CMP0014","Fusion Orbit Pilot","Retention","2025-05-14T18:51:06","2025-06-02T05:13:23","[""Email"", ""Call""]","3408.072631578947","64753.38","mgr_02@purplemerit.example","MEA","[""Procurement""]","CTR"
"CMP0015","Pilot Beta Ramp","Re‑engagement","2025-07-31T18:48:23","2025-08-13T16:21:45","[""SMS"", ""Social"", ""Email""]","698.1500000000001","9075.95","mgr_07@purplemerit.example","India","[""Engineer""]","CPL"
"CMP0016","Flow Beta Series","Nurture","2025-05-12T18:28:31","2025-08-05T22:49:35","[""Ads"", ""Email"", ""Social"", ""Web""]","184.7122093023256","15885.25","mgr_08@purplemerit.example","MEA","[""Founder""]","Revenue"
