"lead_id","campaign_id","converted_at","conversion_value_usd","conversion_type"
"L0000001","CMP0022","2025-08-03T02:59:25","499.25","meeting_scheduled"
"L0000009","CMP0023","2025-07-10T20:57:28","421.63","demo_booked"
"L0000011","CMP0019","2025-06-30T01:37:32","1653.71","demo_booked"
"L0000013","CMP0020","2025-08-15T04:23:43","655.71","demo_booked"
"L0000014","CMP0025","2025-08-14T18:14:11","1458.66","trial_started"
"L0000017","CMP0015","2025-06-28T04:34:27","716.06","meeting_scheduled"
"L0000026","CMP0018","2025-06-02T13:47:02","1870.7","meeting_scheduled"
"L0000029","CMP0030","2025-05-21T17:05:21","1592.89","demo_booked"
"L0000031","CMP0023","2025-07-11T22:44:48","756.29","demo_booked"
"L0000045","CMP0023","2025-07-06T13:50:32","632.34","meeting_scheduled"
"L0000047","CMP0024","2025-08-24T01:51:20","334.29","demo_booked"
"L0000053","CMP0023","2025-05-23T20:56:32","1702.69","demo_booked"
"L0000074","CMP0026","2025-07-10T06:26:10","1255.94","demo_booked"
"L0000086","CMP0026","2025-08-20T06:44:35","115.62","trial_started"
"L0000090","CMP0020","2025-05-24T11:22:22","1453.22","purchase"
"L0000091","CMP0003","2025-08-06T02:30:06","1876.35","trial_started"
"L0000092","CMP0013","2025-05-23T09:01:27","481.94","trial_started"
"L0000106","CMP0011","2025-06-10T22:57:00","1722.03","meeting_scheduled"
"L0000110","CMP0006","2025-08-22T23:25:19","1794.47","purchase"
"L0000117","CMP0009","2025-08-18T10:59:01","1897.39","trial_started"
"L0000119","CMP0027","2025-07-24T07:33:27","540.68","purchase"
"L0000120","CMP0006","2025-06-13T22:36:28","1803.57","purchase"
"L0000125","CMP0024","2025-07-21T22:46:16","409.48","purchase"
"L0000139","CMP0015","2025-05-25T20:06:46","1382.71","meeting_scheduled"
"L0000141","CMP0016","2025-05-14T11:29:28","550.4","demo_booked"
"L0000156","CMP0011","2025-08-21T18:23:15","1281.2","purchase"
"L0000157","CMP0008","2025-07-26T08:05:22","1064.34","purchase"
"L0000158","CMP0029","2025-07-26T10:10:33","108.43","demo_booked"
"L0000171","CMP0007","2025-07-21T07:35:53","465.76","purchase"
"L0000174","CMP0019","2025-07-12T11:27:53","429.34","meeting_scheduled"
"L0000183","CMP0022","2025-06-30T16:09:58","674.76","trial_started"
"L0000200","CMP0019","2025-06-24T21:43:11","1556.81","trial_started"
"L0000206","CMP0013","2025-07-16T01:45:03","1850.03","trial_started"
"L0000207","CMP0022","2025-07-21T16:38:44","1933.45","demo_booked"
"L0000222","CMP0030","2025-08-04T06:07:54","617.18","meeting_scheduled"
"L0000223","CMP0022","2025-05-16T17:08:43","1255.51","trial_started"
"L0000227","CMP0011","2025-08-16T21:35:07","982.74","demo_booked"
"L0000240","CMP0008","2025-08-17T21:43:33","1777.06","demo_booked"
"L0000242","CMP0018","2025-05-29T15:26:09","1661.38","meeting_scheduled"
"L0000252","CMP0025","2025-08-15T03:31:30","326.75","trial_started"
"L0000258","CMP0017","2025-05-19T01:55:24","747.31","purchase"
"L0000261","CMP0009","2025-07-30T06:48:55","255.55","meeting_scheduled"
"L0000262","CMP0023","2025-06-05T15:28:08","360.81","demo_booked"
"L0000266","CMP0012","2025-06-22T18:58:57","404.68","meeting_scheduled"
"L0000284","CMP0027","2025-06-07T09:33:05","1895.94","meeting_scheduled"
"L0000298","CMP0003","2025-05-12T06:50:45","1332.12","demo_booked"
"L0000305","CMP0005","2025-07-21T03:02:35","452.76","trial_started"
"L0000308","CMP0008","2025-08-06T08:23:22","431.51","purchase"
"L0000319","CMP0024","2025-06-04T14:02:01","974.07","purchase"
"L0000322","CMP0010","2025-07-18T06:20:36","848.63","meeting_scheduled"
"L0000338","CMP0005","2025-08-07T00:10:01","1017.59","purchase"
"L0000342","CMP0025","2025-06-30T08:59:13","634.69","trial_started"
"L0000344","CMP0023","2025-06-12T21:34:25","1411.04","meeting_scheduled"
"L0000370","CMP0011","2025-05-18T22:29:05","738.85","purchase"
"L0000373","CMP0015","2025-08-27T06:37:01","1144.53","demo_booked"
"L0000374","CMP0024","2025-05-21T15:28:42","411.4","meeting_scheduled"
"L0000375","CMP0030","2025-06-25T03:38:58","1355.82","demo_booked"
"L0000379","CMP0029","2025-08-24T10:59:18","941.87","demo_booked"
"L0000389","CMP0030","2025-07-09T19:55:39","180.33","purchase"
"L0000390","CMP0019","2025-06-01T20:50:38","1517.76","demo_booked"
"L0000401","CMP0021","2025-08-14T00:58:35","89.79","trial_started"
"L0000411","CMP0029","2025-07-22T14:12:00","1057.66","demo_booked"
"L0000413","CMP0004","2025-06-18T11:29:15","1959.94","demo_booked"
"L0000419","CMP0017","2025-06-23T21:51:43","451.72","purchase"
"L0000421","CMP0012","2025-08-15T05:56:53","52.94","purchase"
"L0000422","CMP0024","2025-08-23T00:57:00","529.22","trial_started"
"L0000425","CMP0027","2025-06-12T03:17:21","564.61","demo_booked"
"L0000427","CMP0010","2025-05-22T19:14:45","540.07","trial_started"
"L0000430","CMP0013","2025-08-15T12:07:21","739.66","purchase"
"L0000433","CMP0005","2025-05-28T02:45:56","600.44","purchase"
"L0000438","CMP0017","2025-07-18T18:52:58","352.46","meeting_scheduled"
"L0000450","CMP0027","2025-07-30T21:16:46","1415.16","trial_started"
"L0000453","CMP0019","2025-05-24T09:41:12","1069.3","purchase"
"L0000458","CMP0026","2025-08-28T05:47:35","1934.67","trial_started"
"L0000464","CMP0002","2025-08-22T10:40:19","932.12","purchase"
"L0000473","CMP0027","2025-08-08T16:05:54","89.41","purchase"
"L0000474","CMP0003","2025-08-07T11:33:19","780.87","trial_started"
"L0000489","CMP0029","2025-06-27T12:48:12","767.24","demo_booked"
"L0000504","CMP0022","2025-08-03T06:59:47","628.29","trial_started"
"L0000527","CMP0003","2025-07-09T05:09:31","772.46","meeting_scheduled"
"L0000535","CMP0010","2025-07-30T05:29:41","765.78","purchase"
"L0000536","CMP0016","2025-08-05T21:29:39","338.71","meeting_scheduled"
"L0000539","CMP0030","2025-08-07T18:43:12","1514.66","meeting_scheduled"
"L0000542","CMP0004","2025-07-15T18:18:38","857.72","meeting_scheduled"
"L0000544","CMP0010","2025-08-05T05:25:29","259.05","trial_started"
"L0000553","CMP0005","2025-07-12T04:54:40","1028.34","trial_started"
"L0000555","CMP0001","2025-07-01T11:50:21","455.13","purchase"
"L0000560","CMP0021","2025-07-23T12:21:47","1174.59","demo_booked"
"L0000563","CMP0003","2025-08-08T19:11:48","1101.08","meeting_scheduled"
"L0000577","CMP0013","2025-06-19T20:43:52","844.83","purchase"
"L0000580","CMP0014","2025-07-28T19:26:22","1589.44","trial_started"
"L0000598","CMP0025","2025-06-09T01:56:51","781.57","meeting_scheduled"
"L0000599","CMP0029","2025-05-17T10:38:27","1291.12","meeting_scheduled"
"L0000600","CMP0009","2025-06-07T06:22:40","1701.87","meeting_scheduled"
"L0000602","CMP0013","2025-08-16T13:07:20","538.09","purchase"
"L0000603","CMP0002","2025-07-05T07:28:39","851.09","meeting_scheduled"
"L0000604","CMP0010","2025-06-26T14:05:09","1740.63","purchase"
"L0000606","CMP0013","2025-08-03T05:42:27","848.07","trial_started"
"L0000618","CMP0016","2025-08-28T04:49:38","1898.38","purchase"
"L0000620","CMP0013","2025-05-15T20:31:17","570.77","demo_booked"
"L0000621","CMP0029","2025-07-07T06:09:32","1549.75","purchase"
"L0000624","CMP0022","2025-08-25T03:45:07","299.37","trial_started"
"L0000635","CMP0030","2025-07-05T08:30:43","1376.11","demo_booked"
"L0000639","CMP0011","2025-05-05T08:53:06","817.0","trial_started"
"L0000640","CMP0003","2025-06-22T18:23:08","441.49","purchase"
"L0000642","CMP0022","2025-05-24T11:44:57","1667.73","purchase"
"L0000644","CMP0026","2025-07-29T23:33:16","1588.58","trial_started"
"L0000649","CMP0016","2025-07-03T22:04:05","1099.7","meeting_scheduled"
"L0000651","CMP0001","2025-06-23T16:53:18","733.89","meeting_scheduled"
"L0000655","CMP0008","2025-05-11T02:52:41","1569.77","demo_booked"
"L0000662","CMP0002","2025-06-20T05:21:57","1347.64","trial_started"
"L0000664","CMP0005","2025-08-23T11:35:18","1855.0","trial_started"
"L0000665","CMP0018","2025-07-09T18:17:49","285.71","trial_started"
"L0000666","CMP0011","2025-07-19T01:42:40","80.95","demo_booked"
"L0000668","CMP0014","2025-07-28T03:06:28","1206.5","meeting_scheduled"
"L0000669","CMP0028","2025-06-26T09:57:20","1656.32","demo_booked"
"L0000670","CMP0027","2025-05-17T13:35:31","917.81","meeting_scheduled"
"L0000674","CMP0017","2025-07-11T10:29:01","1969.68","meeting_scheduled"
"L0000675","CMP0010","2025-06-20T19:54:28","194.02","demo_booked"
"L0000680","CMP0019","2025-07-31T19:19:09","1139.07","purchase"
"L0000682","CMP0011","2025-08-21T20:26:21","1932.44","trial_started"
"L0000690","CMP0006","2025-05-24T11:15:37","1975.18","demo_booked"
"L0000691","CMP0026","2025-05-31T06:51:59","1601.04","meeting_scheduled"
"L0000695","CMP0011","2025-07-02T15:06:28","1004.39","trial_started"
"L0000704","CMP0008","2025-07-18T17:32:08","772.81","purchase"
"L0000708","CMP0010","2025-06-10T20:40:09","1530.73","purchase"
"L0000714","CMP0024","2025-05-05T17:14:47","1151.03","demo_booked"
"L0000725","CMP0019","2025-08-14T19:07:19","565.13","purchase"
"L0000727","CMP0022","2025-05-17T11:12:57","311.89","demo_booked"
"L0000730","CMP0009","2025-07-10T04:56:04","1429.02","trial_started"
"L0000734","CMP0014","2025-05-15T01:55:05","1987.99","purchase"
"L0000737","CMP0010","2025-06-11T03:00:56","569.48","purchase"
"L0000755","CMP0023","2025-07-05T00:58:31","513.46","demo_booked"
"L0000757","CMP0030","2025-07-24T04:10:57","714.66","trial_started"
"L0000765","CMP0020","2025-07-06T03:09:03","1364.15","demo_booked"
"L0000769","CMP0009","2025-06-10T05:22:49","457.13","trial_started"
"L0000775","CMP0007","2025-08-23T17:46:25","1714.17","trial_started"
"L0000778","CMP0015","2025-08-11T10:50:48","275.79","trial_started"
"L0000780","CMP0020","2025-06-17T16:46:05","1269.02","trial_started"
"L0000786","CMP0017","2025-06-02T18:26:42","814.36","trial_started"
"L0000791","CMP0006","2025-06-27T01:08:48","293.15","demo_booked"
"L0000812","CMP0010","2025-06-01T23:23:19","1991.52","demo_booked"
"L0000819","CMP0009","2025-08-06T04:04:40","641.66","demo_booked"
"L0000835","CMP0013","2025-07-07T11:20:48","79.79","meeting_scheduled"
"L0000838","CMP0014","2025-07-26T23:38:52","950.07","demo_booked"
"L0000842","CMP0009","2025-06-06T17:58:08","1303.76","meeting_scheduled"
"L0000845","CMP0029","2025-05-19T06:24:42","1167.33","purchase"
"L0000856","CMP0020","2025-08-08T19:05:59","1395.69","demo_booked"
"L0000871","CMP0004","2025-08-18T18:10:17","490.2","purchase"
"L0000876","CMP0002","2025-08-03T22:10:33","1090.52","purchase"
"L0000880","CMP0008","2025-08-09T00:35:35","78.99","demo_booked"
"L0000885","CMP0017","2025-06-30T23:40:44","506.47","purchase"
"L0000886","CMP0009","2025-06-28T11:16:42","172.31","purchase"
"L0000888","CMP0027","2025-05-03T04:03:37","1255.65","purchase"
"L0000893","CMP0030","2025-06-04T21:20:00","1567.06","meeting_scheduled"
"L0000898","CMP0019","2025-07-26T21:06:22","1989.89","trial_started"
"L0000901","CMP0019","2025-07-29T21:47:25","929.87","demo_booked"
"L0000903","CMP0017","2025-07-22T06:00:58","1270.68","purchase"
"L0000913","CMP0007","2025-07-11T05:57:09","1779.6","trial_started"
"L0000921","CMP0017","2025-05-12T22:09:27","1345.94","trial_started"
"L0000924","CMP0011","2025-08-24T22:25:43","952.23","trial_started"
"L0000928","CMP0011","2025-06-05T14:53:10","747.87","meeting_scheduled"
"L0000930","CMP0007","2025-07-09T14:39:05","1021.24","purchase"
"L0000931","CMP0026","2025-05-27T01:57:35","1701.94","meeting_scheduled"
"L0000941","CMP0011","2025-08-06T17:56:59","1727.68","purchase"
"L0000946","CMP0020","2025-08-27T08:14:46","396.4","meeting_scheduled"
"L0000948","CMP0020","2025-07-24T21:06:45","79.34","meeting_scheduled"
"L0000949","CMP0016","2025-06-14T14:20:15","1385.59","trial_started"
"L0000955","CMP0020","2025-05-12T15:45:08","1100.25","trial_started"
"L0000956","CMP0015","2025-06-17T04:33:46","540.38","purchase"
"L0000957","CMP0004","2025-07-22T10:35:54","917.96","meeting_scheduled"
"L0000966","CMP0011","2025-06-22T02:04:44","1834.34","trial_started"
"L0000972","CMP0027","2025-08-19T19:29:16","1958.81","demo_booked"
"L0000974","CMP0029","2025-08-18T06:19:30","1464.19","demo_booked"
"L0000980","CMP0015","2025-07-27T19:08:27","1575.92","purchase"
"L0000983","CMP0023","2025-06-16T01:26:50","159.04","trial_started"
"L0000991","CMP0016","2025-07-15T00:00:56","1584.04","meeting_scheduled"
"L0000993","CMP0011","2025-08-23T10:09:44","346.81","meeting_scheduled"
"L0000995","CMP0018","2025-05-28T17:16:32","162.4","purchase"
"L0001007","CMP0009","2025-05-27T02:48:35","282.34","trial_started"
"L0001013","CMP0014","2025-06-23T23:04:43","894.29","purchase"
"L0001014","CMP0028","2025-07-18T10:31:08","985.86","demo_booked"
"L0001018","CMP0014","2025-06-26T16:05:44","1757.46","trial_started"
"L0001019","CMP0002","2025-06-04T10:13:57","1224.74","purchase"
"L0001020","CMP0019","2025-08-12T18:33:50","731.12","trial_started"
"L0001021","CMP0004","2025-05-30T10:33:47","663.14","purchase"
"L0001028","CMP0004","2025-05-30T14:07:34","1743.66","demo_booked"
"L0001030","CMP0011","2025-08-04T12:45:37","297.6","demo_booked"
"L0001036","CMP0009","2025-07-30T03:28:43","94.82","trial_started"
"L0001053","CMP0005","2025-07-30T19:30:18","160.32","meeting_scheduled"
"L0001057","CMP0014","2025-07-30T00:44:59","1006.83","trial_started"
"L0001065","CMP0008","2025-08-19T07:35:31","821.69","trial_started"
"L0001068","CMP0030","2025-06-21T02:32:51","809.5","meeting_scheduled"
"L0001069","CMP0010","2025-06-01T11:33:02","1334.6","purchase"
"L0001074","CMP0029","2025-07-25T03:35:32","85.96","demo_booked"
"L0001077","CMP0009","2025-08-06T23:20:47","691.68","trial_started"
"L0001079","CMP0014","2025-06-09T12:46:32","995.21","meeting_scheduled"
"L0001085","CMP0015","2025-07-22T15:24:00","1346.48","meeting_scheduled"
"L0001095","CMP0026","2025-06-28T07:38:33","1356.2","trial_started"
"L0001096","CMP0003","2025-08-01T13:06:06","257.72","demo_booked"
"L0001100","CMP0013","2025-08-15T06:14:53","913.82","purchase"
"L0001101","CMP0017","2025-05-22T00:22:40","714.25","purchase"
"L0001113","CMP0004","2025-07-12T20:18:34","254.98","trial_started"
"L0001128","CMP0022","2025-07-22T07:43:07","962.52","meeting_scheduled"
"L0001130","CMP0015","2025-07-13T13:11:57","504.9","purchase"
"L0001137","CMP0024","2025-08-08T15:02:22","1026.39","demo_booked"
"L0001141","CMP0015","2025-07-05T16:03:16","1361.58","demo_booked"
"L0001142","CMP0003","2025-06-10T02:26:09","1381.68","meeting_scheduled"
"L0001149","CMP0010","2025-08-24T18:16:11","1882.06","demo_booked"
"L0001155","CMP0024","2025-07-21T01:15:30","917.59","meeting_scheduled"
