"rpc_id","timestamp","transport","method","params_bytes","duration_ms","status_code","source_agent_type","target_resource"
"RPC000001","2025-08-10T02:16:32","WebSocket","recommendAction","1121","36","401","LeadTriage","analytics://events"
"RPC000002","2025-06-06T14:00:44","WebSocket","storeMemory","1098","626","500","LeadTriage","kg://graph"
"RPC000003","2025-05-26T12:41:24","HTTP","searchGraph","1069","1062","401","Engagement","db://leads"
"RPC000004","2025-05-23T02:00:56","HTTP","recommendAction","1022","1013","200","LeadTriage","analytics://events"
"RPC000005","2025-07-13T02:38:29","HTTP","searchGraph","1696","1078","403","Engagement","db://leads"
"RPC000006","2025-05-01T02:52:29","HTTP","recommendAction","3650","218","400","Optimizer","cache://memory"
"RPC000007","2025-08-24T01:41:54","HTTP","getLead","4910","367","200","LeadTriage","kg://graph"
"RPC000008","2025-08-25T19:54:06","HTTP","optimizeCampaign","4851","674","200","Optimizer","db://leads"
"RPC000009","2025-05-01T20:41:32","WebSocket","searchGraph","4980","970","400","LeadTriage","db://leads"
"RPC000010","2025-07-14T10:19:20","HTTP","consolidateMemory","4955","1154","200","Optimizer","db://interactions"
"RPC000011","2025-07-21T22:13:43","WebSocket","getLead","3305","623","200","Optimizer","db://interactions"
"RPC000012","2025-06-28T14:59:44","HTTP","optimizeCampaign","4488","1405","403","Optimizer","db://interactions"
"RPC000013","2025-05-04T06:07:11","WebSocket","consolidateMemory","1738","916","200","LeadTriage","analytics://events"
"RPC000014","2025-08-12T19:42:17","HTTP","fetchMemory","1921","519","200","Engagement","db://interactions"
"RPC000015","2025-07-04T07:15:17","HTTP","recommendAction","2058","631","500","LeadTriage","analytics://events"
"RPC000016","2025-08-25T14:00:45","WebSocket","optimizeCampaign","2120","378","401","Engagement","analytics://events"
"RPC000017","2025-05-26T19:05:23","WebSocket","optimizeCampaign","1215","62","401","LeadTriage","db://leads"
"RPC000018","2025-07-24T21:04:06","HTTP","storeMemory","935","494","200","Optimizer","db://interactions"
"RPC000019","2025-06-12T18:34:48","HTTP","optimizeCampaign","1380","1470","500","LeadTriage","kg://graph"
"RPC000020","2025-05-23T09:31:24","WebSocket","fetchMemory","404","621","403","Engagement","cache://memory"
"RPC000021","2025-08-02T20:40:55","HTTP","consolidateMemory","2019","1223","200","LeadTriage","kg://graph"
"RPC000022","2025-08-18T14:26:20","HTTP","recommendAction","2203","860","403","LeadTriage","db://interactions"
"RPC000023","2025-06-26T02:16:36","HTTP","fetchMemory","255","237","200","LeadTriage","kg://graph"
