"resource_uri","timestamp","scope","operation","success","actor"
"db://interactions","2025-08-10T02:16:32","consolidate","MERGE","False","Agent-Client"
"kg://graph","2025-06-06T14:00:44","consolidate","UPDATE","True","Optimizer-Worker"
"db://leads","2025-05-26T12:41:24","write","SELECT","True","Optimizer-Worker"
"db://leads","2025-05-23T02:00:56","consolidate","INSERT","True","MCP-Server"
"db://leads","2025-07-13T02:38:29","write","UPDATE","False","Agent-Client"
"db://interactions","2025-05-01T02:52:29","search","INSERT","False","Optimizer-Worker"
"cache://memory","2025-08-24T01:41:54","consolidate","SELECT","True","MCP-Server"
"kg://graph","2025-08-25T19:54:06","read","UPSERT","True","MCP-Server"
"analytics://events","2025-05-01T20:41:32","read","UPSERT","True","MCP-Server"
"db://campaigns","2025-07-14T10:19:20","consolidate","MERGE","False","MCP-Server"
"analytics://events","2025-07-21T22:13:43","search","UPSERT","True","MCP-Server"
"db://interactions","2025-06-28T14:59:44","write","MERGE","True","Optimizer-Worker"
"kg://graph","2025-05-04T06:07:11","write","QUERY","True","Optimizer-Worker"
"db://interactions","2025-08-12T19:42:17","search","INSERT","True","MCP-Server"
"db://leads","2025-07-04T07:15:17","consolidate","INSERT","True","MCP-Server"
"cache://memory","2025-08-25T14:00:45","consolidate","INSERT","True","Optimizer-Worker"
"db://leads","2025-05-26T19:05:23","search","UPDATE","True","Agent-Client"
"kg://graph","2025-07-24T21:04:06","write","INSERT","True","Optimizer-Worker"
"kg://graph","2025-06-12T18:34:48","search","INSERT","True","Agent-Client"
"db://interactions","2025-05-23T09:31:24","write","MERGE","True","MCP-Server"
"cache://memory","2025-08-02T20:40:55","write","MERGE","True","Agent-Client"
"db://leads","2025-08-18T14:26:20","read","UPSERT","True","Agent-Client"
"kg://graph","2025-06-26T02:16:36","read","SELECT","True","Optimizer-Worker"
"kg://graph","2025-06-19T12:42:29","search","SELECT","True","Agent-Client"
"cache://memory","2025-05-11T20:28:13","search","INSERT","True","Agent-Client"
"kg://graph","2025-07-22T00:19:44","search","UPSERT","True","MCP-Server"
"db://leads","2025-06-11T03:53:47","consolidate","SELECT","False","Optimizer-Worker"
"analytics://events","2025-08-08T00:51:02","write","MERGE","True","MCP-Server"
"db://campaigns","2025-07-13T06:17:54","read","MERGE","True","Agent-Client"
"analytics://events","2025-07-01T07:08:23","read","UPDATE","True","MCP-Server"
"db://campaigns","2025-08-02T06:30:52","write","QUERY","True","MCP-Server"
