"episode_id","scenario","action_sequence_json","outcome_score","notes"
"EPI00001","security_review","[""offer_trial"", ""retarget_ads"", ""pause_sequence"", ""escalate_manager""]","0.002","requires security one-pager"
"EPI00002","churn_risk","[""follow_up_sms"", ""escalate_manager""]","0.248","requires security one-pager"
"EPI00003","multi_stakeholder","[""pause_sequence"", ""send_case_study"", ""retarget_ads"", ""book_demo"", ""escalate_manager""]","0.275","great for re-engagement"
"EPI00004","budget_blocker","[""follow_up_sms"", ""escalate_manager"", ""book_demo"", ""retarget_ads""]","0.871","great for re-engagement"
"EPI00005","enterprise_eval","[""book_demo"", ""pause_sequence"", ""follow_up_sms""]","0.815","requires security one-pager"
"EPI00006","budget_blocker","[""escalate_manager"", ""send_case_study"", ""pause_sequence"", ""book_demo"", ""follow_up_sms""]","0.916","requires security one-pager"
"EPI00007","multi_stakeholder","[""book_demo"", ""offer_trial"", ""pause_sequence"", ""retarget_ads""]","0.132","great for re-engagement"
"EPI00008","enterprise_eval","[""escalate_manager"", ""send_case_study"", ""retarget_ads"", ""follow_up_sms"", ""book_demo""]","0.478","requires security one-pager"
"EPI00009","enterprise_eval","[""offer_trial"", ""pause_sequence"", ""escalate_manager"", ""book_demo""]","0.564","worked well for APAC SMBs"
"EPI00010","enterprise_eval","[""pause_sequence"", ""send_case_study"", ""follow_up_sms""]","0.577","worked well for APAC SMBs"
"EPI00011","churn_risk","[""book_demo"", ""escalate_manager"", ""offer_trial"", ""retarget_ads"", ""follow_up_sms""]","0.051","requires security one-pager"
"EPI00012","multi_stakeholder","[""pause_sequence"", ""retarget_ads""]","0.144","requires security one-pager"
"EPI00013","budget_blocker","[""follow_up_sms"", ""pause_sequence""]","0.741","requires security one-pager"
"EPI00014","enterprise_eval","[""follow_up_sms"", ""pause_sequence""]","0.661","requires security one-pager"
"EPI00015","multi_stakeholder","[""follow_up_sms"", ""pause_sequence"", ""escalate_manager"", ""retarget_ads""]","0.814","best when lead score >70"
"EPI00016","security_review","[""send_case_study"", ""pause_sequence"", ""book_demo""]","0.532","great for re-engagement"
"EPI00017","enterprise_eval","[""retarget_ads"", ""escalate_manager"", ""offer_trial""]","0.156","great for re-engagement"
"EPI00018","security_review","[""offer_trial"", ""retarget_ads"", ""pause_sequence"", ""book_demo"", ""follow_up_sms""]","0.296","worked well for APAC SMBs"
"EPI00019","churn_risk","[""offer_trial"", ""book_demo"", ""follow_up_sms"", ""pause_sequence""]","0.963","worked well for APAC SMBs"
"EPI00020","security_review","[""pause_sequence"", ""offer_trial"", ""escalate_manager""]","0.33","worked well for APAC SMBs"
"EPI00021","churn_risk","[""book_demo"", ""follow_up_sms"", ""retarget_ads"", ""pause_sequence"", ""send_case_study""]","0.013","best when lead score >70"
"EPI00022","enterprise_eval","[""escalate_manager"", ""offer_trial""]","0.708","best when lead score >70"
"EPI00023","budget_blocker","[""book_demo"", ""offer_trial"", ""escalate_manager"", ""retarget_ads""]","0.768","worked well for APAC SMBs"
"EPI00024","budget_blocker","[""send_case_study"", ""offer_trial"", ""follow_up_sms""]","0.685","great for re-engagement"
"EPI00025","multi_stakeholder","[""follow_up_sms"", ""escalate_manager"", ""offer_trial""]","0.072","best when lead score >70"
"EPI00026","churn_risk","[""follow_up_sms"", ""send_case_study""]","0.653","requires security one-pager"
"EPI00027","smb_quick_win","[""offer_trial"", ""escalate_manager"", ""book_demo"", ""send_case_study""]","0.901","great for re-engagement"
"EPI00028","enterprise_eval","[""book_demo"", ""follow_up_sms"", ""offer_trial"", ""retarget_ads"", ""send_case_study""]","0.612","great for re-engagement"
"EPI00029","multi_stakeholder","[""follow_up_sms"", ""retarget_ads"", ""escalate_manager"", ""offer_trial"", ""book_demo""]","0.473","requires security one-pager"
"EPI00030","enterprise_eval","[""escalate_manager"", ""send_case_study"", ""offer_trial"", ""follow_up_sms"", ""pause_sequence""]","0.265","worked well for APAC SMBs"
"EPI00031","multi_stakeholder","[""offer_trial"", ""escalate_manager"", ""book_demo"", ""retarget_ads"", ""send_case_study""]","0.946","best when lead score >70"
"EPI00032","security_review","[""follow_up_sms"", ""book_demo"", ""retarget_ads"", ""escalate_manager"", ""offer_trial""]","0.699","worked well for APAC SMBs"
"EPI00033","smb_quick_win","[""escalate_manager"", ""follow_up_sms"", ""offer_trial"", ""send_case_study""]","0.634","best when lead score >70"
"EPI00034","budget_blocker","[""book_demo"", ""send_case_study"", ""escalate_manager"", ""offer_trial""]","0.229","best when lead score >70"
