"lead_id","region","industry","rfm_score","preferences_json","last_updated_at"
"L0000001","India","Retail","0.581","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""roadmap"", ""integration""]}","2025-07-30T19:21:25"
"L0000002","MEA","Manufacturing","0.204","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""integration"", ""security"", ""roi""]}","2025-06-21T16:43:17"
"L0000003","EU","HealthTech","0.276","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""roi"", ""integration""]}","2025-08-26T19:14:47"
"L0000004","US","Retail","0.434","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""roi""]}","2025-08-11T22:43:56"
"L0000006","MEA","HealthTech","0.888","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social""], ""interests"": [""pricing"", ""roi"", ""case_studies""]}","2025-08-24T07:42:00"
"L0000009","EU","SaaS","0.256","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Email""], ""interests"": [""security"", ""roadmap""]}","2025-06-16T00:23:17"
"L0000010","LATAM","FinTech","0.438","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""roadmap"", ""pricing"", ""roi""]}","2025-07-23T00:14:26"
"L0000012","India","E‑commerce","0.975","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""Social""], ""interests"": [""roadmap"", ""security"", ""roi""]}","2025-08-23T18:20:16"
"L0000013","US","E‑commerce","0.227","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""security""]}","2025-07-14T08:59:59"
"L0000017","MEA","Manufacturing","0.493","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Social""], ""interests"": [""integration"", ""roi"", ""case_studies""]}","2025-06-29T16:20:33"
"L0000019","EU","Media","0.559","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call"", ""Email""], ""interests"": [""security"", ""case_studies""]}","2025-08-25T16:27:41"
"L0000022","MEA","E‑commerce","0.596","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""pricing"", ""integration""]}","2025-07-13T18:04:55"
