"conversation_id","lead_id","last_utterance_summary","active_intent","slots_json","expires_at"
"C0003221","L0003222","unsubscribed","negotiate","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T05:13:16"
"C0003282","L0003283","timeline Q3","book_demo","{""company"": ""Acme Co."", ""employees"": 1200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T11:17:34"
"C0001150","L0001150","timeline Q3","unsubscribe","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T04:06:39"
"C0001013","L0001013","requested demo","download_asset","{""company"": ""Acme Co."", ""employees"": 10, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T07:58:05"
"C0001389","L0001389","asked about pricing","book_demo","{""company"": ""Acme Co."", ""employees"": 200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T23:51:48"
"C0004058","L0004059","unsubscribed","download_asset","{""company"": ""Acme Co."", ""employees"": 10, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T00:57:46"
"C0002758","L0002759","requested demo","negotiate","{""company"": ""Acme Co."", ""employees"": 200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T12:59:01"
"C0002801","L0002802","timeline Q3","download_asset","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T13:54:00"
"C0001079","L0001079","unsubscribed","request_callback","{""company"": ""Acme Co."", ""employees"": 1200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T20:59:41"
"C0002979","L0002980","requested demo","unsubscribe","{""company"": ""Acme Co."", ""employees"": 200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T03:42:53"
"C0000453","L0000453","asked about pricing","book_demo","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T11:10:38"
"C0001547","L0001547","needs security details","download_asset","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T07:59:57"
"C0003151","L0003152","unsubscribed","download_asset","{""company"": ""Acme Co."", ""employees"": 10, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-28T22:25:41"
"C0001525","L0001525","timeline Q3","unsubscribe","{""company"": ""Acme Co."", ""employees"": 1200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T13:58:13"
"C0003799","L0003800","interested in case studies","download_asset","{""company"": ""Acme Co."", ""employees"": 200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T03:52:27"
"C0004379","L0004380","requested demo","request_callback","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T13:49:43"
"C0003172","L0003173","unsubscribed","unsubscribe","{""company"": ""Acme Co."", ""employees"": 10, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T10:47:27"
"C0002509","L0002510","timeline Q3","request_callback","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T17:01:52"
"C0002493","L0002494","needs security details","request_callback","{""company"": ""Acme Co."", ""employees"": 200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T17:00:00"
"C0004641","L0004642","timeline Q3","book_demo","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-16T14:42:46"
"C0004638","L0004639","interested in case studies","request_callback","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T20:18:33"
"C0000245","L0000245","unsubscribed","unsubscribe","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-27T20:26:20"
"C0002321","L0002322","needs security details","negotiate","{""company"": ""Acme Co."", ""employees"": 1200, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-29T12:58:40"
"C0002563","L0002564","requested demo","download_asset","{""company"": ""Acme Co."", ""employees"": 10, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T03:59:07"
"C0002533","L0002534","timeline Q3","book_demo","{""company"": ""Acme Co."", ""employees"": 10, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-24T21:21:41"
"C0002093","L0002093","asked about pricing","unsubscribe","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-31T12:00:00"
"C0000992","L0000992","unsubscribed","unsubscribe","{""company"": ""Acme Co."", ""employees"": 50, ""tooling"": [""HubSpot"", ""Salesforce"", ""GA4""]}","2025-08-30T09:43:58"
