"event_id","timestamp","principal","auth_mechanism","scope","result","ip"
"AUTH00001","2025-05-25T20:33:51","svc-mcp","OIDC","campaigns:write","expired","10.249.67.137"
"AUTH00002","2025-05-23T17:31:09","analyst-ui","APIKey","campaigns:write","failure","10.98.7.136"
"AUTH00003","2025-07-22T19:03:27","svc-mcp","mTLS","leads:read","failure","10.214.77.254"
"AUTH00004","2025-07-25T01:59:28","analyst-ui","mTLS","leads:read","expired","10.162.134.194"
"AUTH00005","2025-05-04T16:00:38","analyst-ui","OIDC","campaigns:read","expired","10.75.160.166"
"AUTH00006","2025-07-10T19:52:35","svc-optimizer","mTLS","analytics:read","failure","10.211.136.6"
"AUTH00007","2025-08-04T14:33:56","analyst-ui","APIKey","leads:read","failure","10.216.251.28"
"AUTH00008","2025-08-22T14:52:04","analyst-ui","mTLS","leads:read","expired","10.84.53.35"
"AUTH00009","2025-08-23T20:16:22","analyst-ui","APIKey","campaigns:write","denied","10.244.139.138"
"AUTH00010","2025-05-17T01:32:42","analyst-ui","APIKey","campaigns:read","failure","10.116.60.114"
"AUTH00011","2025-08-10T16:22:22","analyst-ui","mTLS","campaigns:write","denied","10.15.25.129"
"AUTH00012","2025-08-28T14:14:08","analyst-ui","OIDC","analytics:read","denied","10.122.15.19"
"AUTH00013","2025-08-24T13:06:11","svc-optimizer","APIKey","leads:read","success","10.132.164.191"
"AUTH00014","2025-08-26T05:47:21","svc-engagement","APIKey","campaigns:write","denied","10.110.48.172"
"AUTH00015","2025-07-20T12:40:07","svc-mcp","mTLS","campaigns:write","denied","10.117.79.48"
"AUTH00016","2025-08-25T05:54:11","svc-mcp","APIKey","leads:read","expired","10.242.249.2"
"AUTH00017","2025-05-08T13:29:24","svc-mcp","APIKey","campaigns:read","success","10.147.21.185"
"AUTH00018","2025-07-07T15:38:51","analyst-ui","OIDC","analytics:read","expired","10.252.45.19"
"AUTH00019","2025-06-25T05:26:36","svc-mcp","mTLS","campaigns:read","failure","10.52.56.93"
"AUTH00020","2025-07-18T23:42:41","svc-engagement","OIDC","campaigns:write","expired","10.177.85.30"
"AUTH00021","2025-07-16T05:51:31","svc-mcp","APIKey","leads:write","success","10.5.179.156"
"AUTH00022","2025-08-24T21:22:27","svc-optimizer","APIKey","campaigns:write","denied","10.33.143.198"
"AUTH00023","2025-08-16T18:59:48","svc-optimizer","OIDC","leads:read","expired","10.115.24.205"
"AUTH00024","2025-05-06T04:05:49","svc-optimizer","OIDC","campaigns:write","success","10.153.24.217"
"AUTH00025","2025-06-19T19:27:07","analyst-ui","OIDC","memory:rw","success","10.127.7.226"
"AUTH00026","2025-07-14T18:46:06","analyst-ui","mTLS","analytics:read","failure","10.158.44.140"
"AUTH00027","2025-08-11T18:59:06","svc-mcp","OIDC","campaigns:write","failure","10.175.0.38"
"AUTH00028","2025-06-02T06:50:37","analyst-ui","APIKey","leads:read","success","10.132.224.127"
"AUTH00029","2025-08-21T12:55:07","svc-optimizer","APIKey","campaigns:read","expired","10.119.37.195"
"AUTH00030","2025-05-20T23:05:34","svc-engagement","mTLS","leads:read","expired","10.12.30.240"
"AUTH00031","2025-07-04T14:39:57","svc-mcp","mTLS","leads:read","success","10.228.63.231"
"AUTH00032","2025-07-18T02:14:08","analyst-ui","mTLS","campaigns:write","expired","10.145.212.106"
"AUTH00033","2025-07-08T09:31:30","svc-optimizer","APIKey","memory:rw","expired","10.27.218.32"
"AUTH00034","2025-06-03T10:04:43","analyst-ui","mTLS","leads:read","success","10.127.106.89"
"AUTH00035","2025-07-07T16:11:43","analyst-ui","OIDC","leads:read","expired","10.118.121.206"
"AUTH00036","2025-06-27T02:37:30","analyst-ui","mTLS","leads:read","expired","10.37.151.248"
"AUTH00037","2025-07-02T20:48:02","svc-engagement","APIKey","analytics:read","success","10.82.119.200"
"AUTH00038","2025-08-06T18:10:01","svc-mcp","mTLS","campaigns:read","expired","10.74.41.146"
"AUTH00039","2025-05-06T10:57:39","svc-optimizer","mTLS","leads:read","denied","10.209.247.243"
"AUTH00040","2025-08-23T06:19:44","svc-optimizer","APIKey","leads:read","denied","10.90.227.2"
"AUTH00041","2025-06-03T10:24:10","svc-engagement","APIKey","campaigns:read","expired","10.75.30.249"
"AUTH00042","2025-07-25T18:47:56","analyst-ui","APIKey","leads:write","failure","10.85.31.179"
"AUTH00043","2025-05-17T03:43:51","svc-optimizer","APIKey","campaigns:write","expired","10.105.88.158"
"AUTH00044","2025-08-16T10:54:15","svc-engagement","OIDC","campaigns:read","success","10.35.213.109"
"AUTH00045","2025-07-29T04:36:01","svc-engagement","APIKey","leads:read","success","10.250.170.42"
"AUTH00046","2025-08-02T17:56:18","svc-optimizer","APIKey","leads:write","expired","10.230.111.42"
"AUTH00047","2025-08-11T17:52:58","analyst-ui","mTLS","leads:read","denied","10.220.196.118"
"AUTH00048","2025-08-03T22:51:23","svc-optimizer","mTLS","leads:write","failure","10.85.41.243"
"AUTH00049","2025-06-22T04:06:56","svc-engagement","OIDC","campaigns:write","failure","10.169.193.36"
"AUTH00050","2025-05-23T01:52:26","svc-engagement","mTLS","analytics:read","success","10.248.54.244"
"AUTH00051","2025-07-08T14:13:33","analyst-ui","OIDC","leads:write","expired","10.84.156.70"
"AUTH00052","2025-08-13T18:30:05","svc-optimizer","APIKey","leads:read","failure","10.18.102.93"
"AUTH00053","2025-05-12T19:58:12","svc-engagement","OIDC","leads:read","success","10.198.20.114"
"AUTH00054","2025-08-22T11:31:24","svc-mcp","OIDC","analytics:read","success","10.24.255.137"
"AUTH00055","2025-06-12T19:30:47","analyst-ui","mTLS","leads:read","failure","10.126.136.22"
"AUTH00056","2025-05-15T21:31:36","svc-mcp","APIKey","campaigns:read","success","10.98.51.156"
"AUTH00057","2025-05-06T00:01:31","analyst-ui","APIKey","memory:rw","expired","10.233.56.154"
"AUTH00058","2025-05-30T19:56:01","svc-optimizer","mTLS","campaigns:write","expired","10.177.200.69"
"AUTH00059","2025-07-16T05:45:14","svc-optimizer","OIDC","leads:read","success","10.217.223.234"
"AUTH00060","2025-07-27T11:22:22","analyst-ui","mTLS","campaigns:read","failure","10.207.253.50"
"AUTH00061","2025-05-13T16:05:15","analyst-ui","mTLS","leads:read","success","10.80.170.228"
"AUTH00062","2025-07-19T01:55:33","svc-engagement","APIKey","campaigns:write","failure","10.206.217.51"
"AUTH00063","2025-07-02T09:41:56","analyst-ui","OIDC","analytics:read","success","10.82.41.69"
"AUTH00064","2025-05-04T00:50:16","svc-optimizer","mTLS","memory:rw","expired","10.170.87.86"
"AUTH00065","2025-05-26T10:50:19","analyst-ui","mTLS","leads:write","denied","10.168.161.83"
"AUTH00066","2025-05-29T16:27:06","svc-engagement","mTLS","memory:rw","failure","10.31.3.183"
"AUTH00067","2025-06-28T04:50:16","svc-engagement","OIDC","memory:rw","success","10.113.242.61"
"AUTH00068","2025-07-23T12:00:13","svc-mcp","OIDC","memory:rw","success","10.222.179.234"
"AUTH00069","2025-08-15T10:08:46","svc-engagement","APIKey","memory:rw","denied","10.112.23.197"
"AUTH00070","2025-07-10T01:37:16","svc-engagement","APIKey","memory:rw","success","10.181.202.243"
"AUTH00071","2025-07-21T02:26:19","analyst-ui","mTLS","analytics:read","denied","10.53.53.214"
