"subject","predicate","object","weight","source"
"FeatureY","preferred_channel","Lead","0.598","imported"
"ROI","preferred_channel","Lead","0.104","analyst"
"ProductA","located_in","Security","0.232","heuristic"
"Social","requires","ProductB","0.364","analyst"
"CaseStudy2","related_to","FeatureY","0.643","heuristic"
"Onboarding","located_in","Integration","0.661","imported"
"Security","requires","Campaign","0.132","analyst"
"ProductA","targets","Enterprise","0.681","analyst"
"SMS","located_in","Lead","0.544","docs"
"Onboarding","targets","SMB","0.881","docs"
"CaseStudy1","similar_to","ProductA","0.356","analyst"
"ROI","interested_in","SMB","0.243","analyst"
"Ads","interested_in","APAC","0.283","analyst"
"CaseStudy1","preferred_channel","APAC","0.791","docs"
"ProductB","targets","APAC","0.887","heuristic"
"Integration","located_in","SMB","0.193","docs"
"Integration","boosts","CaseStudy1","0.35","docs"
"Campaign","preferred_channel","Social","0.478","docs"
"FeatureY","similar_to","Onboarding","0.316","heuristic"
"ROI","similar_to","Lead","0.721","imported"
"CaseStudy1","related_to","Integration","0.693","imported"
"Integration","preferred_channel","APAC","0.622","analyst"
"Security","interested_in","APAC","0.944","analyst"
"Onboarding","requires","ProductA","0.601","imported"
"Campaign","requires","Enterprise","0.253","heuristic"
"Campaign","located_in","CaseStudy1","0.495","imported"
"Security","located_in","FeatureY","0.131","analyst"
"FeatureY","targets","SMS","0.753","imported"
"FeatureY","interested_in","Security","0.87","analyst"
"ROI","located_in","Security","0.512","imported"
"ROI","requires","Integration","0.134","docs"
"SMS","targets","CaseStudy1","0.819","docs"
"Onboarding","targets","Campaign","0.785","docs"
"SMB","preferred_channel","CaseStudy1","0.382","imported"
"ROI","targets","Enterprise","0.452","imported"
"SMS","requires","SMB","0.431","analyst"
"SMB","requires","Email","0.645","docs"
"APAC","interested_in","ProductB","0.634","imported"
"CaseStudy2","similar_to","Ads","0.541","analyst"
"Enterprise","interested_in","FeatureX","0.824","docs"
"Onboarding","boosts","ProductA","0.834","docs"
