"session_id","timestamp","messages_sent","messages_received","bytes_in","bytes_out"
"WS01646","2025-08-10T02:16:32","6","5","2025","4400"
"WS01761","2025-06-06T14:00:44","1","2","4382","6741"
"WS01555","2025-05-01T20:41:32","6","1","7141","7195"
"WS00926","2025-07-21T22:13:43","2","2","7211","1006"
"WS00084","2025-05-04T06:07:11","2","6","3846","7442"
"WS00732","2025-08-25T14:00:45","3","1","6403","5817"
"WS01212","2025-05-26T19:05:23","1","6","534","4759"
"WS01576","2025-05-23T09:31:24","3","6","6470","3812"
"WS01551","2025-06-11T03:53:47","4","2","7620","2723"
"WS01266","2025-07-13T06:17:54","4","5","5594","6297"
"WS01305","2025-07-01T07:08:23","6","6","1494","5026"
"WS01193","2025-06-10T22:48:04","4","6","1068","3933"
"WS01308","2025-06-28T03:47:53","5","1","2865","792"
"WS00699","2025-05-17T12:15:01","6","4","5235","4709"
"WS01066","2025-06-28T05:22:03","3","2","1005","7926"
"WS01072","2025-07-12T01:58:22","6","6","6241","1004"
"WS00676","2025-07-13T15:43:49","1","1","4666","2703"
"WS00853","2025-05-28T22:28:47","1","3","6485","2283"
"WS01023","2025-07-04T12:25:51","3","6","4392","6129"
"WS01965","2025-08-26T11:23:26","6","4","4385","4323"
"WS00262","2025-06-05T10:07:11","1","1","4022","2711"
"WS01531","2025-08-16T03:10:36","2","5","4398","6619"
"WS01397","2025-05-14T05:04:40","2","4","6324","1579"
"WS01506","2025-06-20T05:58:15","6","6","6656","582"
"WS00997","2025-05-18T10:37:01","1","5","4101","6635"
"WS00692","2025-06-15T17:35:23","2","6","6455","3188"
"WS01341","2025-08-07T01:03:52","3","2","2582","3417"
"WS01984","2025-07-18T02:38:15","6","6","1523","3350"
"WS00888","2025-07-29T11:22:02","4","2","1833","2695"
"WS01973","2025-05-08T12:52:40","6","3","3836","4494"
"WS00742","2025-06-02T12:34:00","5","4","6945","1778"
"WS00267","2025-06-08T12:40:51","5","1","1170","1465"
"WS01854","2025-05-21T11:55:46","1","1","4393","6406"
"WS01878","2025-05-23T04:14:08","5","2","7365","2567"
"WS00311","2025-05-29T12:34:33","3","5","6897","7818"
"WS00800","2025-06-09T07:35:55","4","2","7087","4932"
"WS01270","2025-05-12T04:16:28","2","4","1255","1095"
"WS01271","2025-05-10T20:22:26","1","4","7979","2171"
"WS01218","2025-06-29T05:38:39","4","5","6278","6941"
"WS01802","2025-07-09T06:05:10","1","3","3048","2927"
"WS01294","2025-07-15T04:52:44","1","3","1603","4453"
"WS00274","2025-06-17T06:47:36","4","1","3474","1577"
"WS00850","2025-05-24T12:53:53","1","1","7121","2910"
"WS00503","2025-08-19T04:09:41","1","4","1256","7885"
"WS01259","2025-08-07T07:49:03","6","2","3223","1268"
"WS01890","2025-06-01T05:11:08","4","6","2938","4629"
"WS01904","2025-05-27T23:13:17","3","2","4177","4690"
"WS00910","2025-06-09T12:10:41","3","5","7340","6052"
"WS01162","2025-08-28T19:14:59","1","4","739","5505"
"WS01929","2025-05-11T09:17:27","2","5","1084","5176"
"WS00725","2025-06-18T00:48:25","6","2","6110","3040"
"WS01204","2025-05-06T05:44:58","6","4","1635","5284"
"WS00289","2025-05-27T22:39:23","2","2","1287","4481"
"WS00358","2025-07-09T04:10:12","4","1","5123","1529"
"WS00526","2025-07-28T23:14:30","6","1","6190","5934"
"WS00804","2025-06-03T23:09:13","3","4","6094","4888"
"WS01084","2025-08-09T15:32:32","3","1","3220","7725"
"WS00015","2025-08-13T15:33:08","3","2","3182","3489"
"WS00421","2025-07-10T01:25:26","5","1","2196","6873"
"WS00531","2025-05-17T01:00:08","6","3","7147","815"
"WS01524","2025-05-04T14:20:15","2","4","5302","7286"
"WS00097","2025-06-20T02:41:35","2","3","5862","5993"
"WS00637","2025-05-01T07:25:17","3","4","6087","7054"
"WS00967","2025-06-05T03:14:29","6","1","6299","3561"
"WS01058","2025-06-03T19:15:42","2","2","7876","4533"
"WS01838","2025-06-07T17:31:19","2","4","5495","3531"
"WS01594","2025-08-05T17:23:40","3","2","2116","7489"
"WS00255","2025-07-26T17:40:34","4","2","3520","7834"
"WS00920","2025-08-14T16:19:40","1","2","2403","998"
"WS00976","2025-05-31T08:27:20","6","5","3724","6299"
"WS01041","2025-05-29T21:11:02","4","3","4368","2646"
"WS01188","2025-08-18T12:06:58","1","2","4358","4185"
"WS01910","2025-07-06T11:32:07","2","5","7757","2101"
"WS00057","2025-05-13T12:54:32","4","5","6143","4354"
"WS01397","2025-07-16T06:54:25","5","4","6346","1416"
"WS00916","2025-05-18T11:51:00","5","2","4846","7586"
"WS01883","2025-05-06T19:48:46","2","5","6486","686"
"WS00463","2025-07-18T04:42:22","1","3","7517","4726"
"WS00655","2025-08-04T22:55:55","1","6","2629","3479"
"WS01077","2025-07-27T09:10:21","5","4","1204","7006"
"WS01563","2025-07-03T01:44:23","3","3","5413","1970"
"WS01259","2025-05-31T12:19:56","1","4","614","6976"
